.,Multicap,Tactical Allocation,Bond Allocation,Tactical Long Short,Alternative Sector Rotation,Tact. ETF,Core II,Core Strat.,Dynamic Opt.,S&P 500
Oct-11,4.06%,1.62%,0.13%,5.09%,22.14%,1.74%,-0.25%,10.62%,2.65%,10.77%
Nov-11,0.81%,-3.29%,0.16%,-2.43%,6.63%,-1.66%,0.00%,0.61%,2.59%,-0.51%
Dec-11,-1.16%,-1.62%,0.00%,5.23%,-1.73%,2.58%,0.00%,-0.19%,1.35%,-0.85%
Jan-12,2.07%,5.27%,1.60%,4.41%,9.86%,3.65%,-0.43%,3.38%,1.02%,4.36%
Feb-12,2.42%,4.22%,1.16%,4.12%,3.39%,3.06%,1.57%,3.07%,0.71%,4.06%
Mar-12,3.16%,0.23%,-0.45%,3.06%,-3.54%,1.91%,-0.53%,1.95%,0.66%,3.13%
Apr-12,-2.13%,-1.07%,0.61%,-0.63%,4.22%,2.67%,-0.65%,0.48%,0.49%,-0.75%
May-12,-5.17%,-4.72%,-0.90%,-5.71%,0.43%,1.43%,-1.43%,-3.75%,0.22%,-6.27%
Jun-12,3.46%,0.00%,0.09%,1.48%,14.89%,1.14%,0.00%,5.68%,2.90%,3.69%
Jul-12,-5.38%,-0.36%,0.62%,1.12%,14.26%,1.89%,-0.81%,3.27%,1.71%,1.26%
Aug-12,2.35%,2.16%,-0.12%,2.38%,-14.61%,1.26%,3.17%,0.66%,1.88%,1.98%
Sep-12,4.09%,1.89%,1.04%,2.41%,8.63%,1.30%,1.53%,2.73%,1.71%,2.42%
Oct-12,-3.60%,-1.68%,0.28%,-1.73%,-2.15%,-1.24%,-1.37%,0.21%,1.69%,-1.98%
Nov-12,0.90%,0.02%,0.60%,0.54%,-6.21%,0.60%,0.46%,-1.25%,0.95%,0.28%
Dec-12,1.70%,0.91%,0.46%,0.85%,-9.24%,1.68%,0.74%,1.03%,1.81%,0.71%
Jan-13,5.89%,2.78%,0.57%,3.69%,4.38%,4.56%,2.53%,3.54%,0.73%,5.04%
Feb-13,-2.77%,0.41%,-0.10%,1.21%,-5.94%,1.15%,0.33%,0.88%,1.51%,1.11%
Mar-13,1.36%,2.58%,0.54%,3.61%,13.62%,3.60%,2.69%,3.11%,1.70%,3.60%
Apr-13,-1.53%,1.10%,0.78%,1.83%,6.77%,1.73%,1.56%,2.21%,2.89%,1.81%
May-13,5.38%,1.03%,-0.12%,2.24%,-8.93%,1.34%,0.90%,1.61%,2.97%,2.08%
Jun-13,0.11%,-1.81%,-1.65%,-1.79%,1.36%,-1.45%,-3.20%,-0.51%,1.41%,-1.50%
Jul-13,10.49%,4.48%,-0.25%,4.48%,4.57%,5.28%,4.22%,2.54%,2.08%,4.95%
Aug-13,1.19%,-2.58%,-0.52%,-2.85%,1.61%,-2.57%,-2.48%,-1.60%,0.92%,-3.13%
Sep-13,5.12%,3.98%,-0.03%,2.53%,-4.87%,4.24%,3.07%,1.94%,1.42%,2.97%
Oct-13,-0.04%,2.89%,0.59%,4.40%,0.46%,4.18%,2.72%,0.99%,1.51%,4.46%
Nov-13,0.93%,1.11%,-0.66%,2.82%,-2.57%,2.62%,1.23%,2.23%,5.15%,2.80%
Dec-13,3.33%,1.19%,0.57%,2.45%,2.85%,2.41%,1.00%,1.84%,2.83%,2.36%
Jan-14,-0.28%,-2.64%,-1.27%,-3.35%,8.01%,-1.27%,-2.98%,-2.72%,0.95%,-3.56%
Feb-14,7.69%,0.37%,1.52%,4.32%,1.44%,2.88%,-0.21%,3.03%,0.70%,4.31%
Mar-14,-2.02%,0.95%,0.14%,0.79%,-0.04%,-0.05%,-0.48%,2.39%,1.68%,0.69%
Apr-14,-0.51%,-0.64%,0.84%,0.66%,2.35%,-0.72%,-1.36%,-0.88%,1.93%,0.62%
May-14,-1.11%,0.63%,1.59%,1.93%,-3.33%,1.09%,0.10%,0.43%,0.02%,2.10%
Jun-14,3.76%,0.88%,0.71%,1.09%,3.72%,1.50%,1.21%,0.85%,7.09%,1.91%
Jul-14,-2.11%,-2.33%,-0.96%,-1.33%,-3.09%,-1.39%,-3.08%,-1.46%,-0.94%,-1.51%
Aug-14,3.72%,0.62%,0.22%,3.74%,1.85%,2.57%,-0.14%,3.05%,1.40%,3.77%
Sep-14,-2.99%,-0.32%,-0.86%,-1.31%,-1.00%,-1.61%,0.00%,-0.20%,4.15%,-1.38%
Oct-14,0.92%,-0.82%,0.04%,-1.54%,-6.88%,0.92%,-0.25%,1.83%,-4.56%,2.36%
Nov-14,4.10%,-0.57%,0.12%,2.61%,4.00%,1.67%,0.00%,1.98%,0.45%,2.75%
Dec-14,0.32%,-1.00%,-0.17%,-0.24%,1.48%,-0.11%,0.00%,0.06%,-6.32%,-0.25%
Jan-15,-0.76%,-1.86%,0.56%,-3.09%,5.08%,-1.28%,-0.25%,-2.17%,-2.62%,-2.96%
Feb-15,1.37%,4.13%,-0.04%,5.34%,-3.80%,3.23%,0.00%,4.04%,7.06%,5.62%
Mar-15,0.96%,-0.96%,-0.28%,-1.49%,-4.70%,-0.80%,0.00%,-1.50%,1.17%,-1.57%
Apr-15,-0.77%,1.16%,0.83%,0.68%,-3.21%,-0.02%,-0.25%,-0.82%,0.85%,0.98%
May-15,4.15%,-0.78%,-0.41%,1.23%,0.50%,0.61%,-0.79%,0.77%,3.02%,1.29%
Jun-15,-1.27%,-0.07%,-1.06%,-1.92%,-2.65%,-2.34%,0.47%,-0.68%,1.23%,-2.01%
Jul-15,2.28%,-3.78%,-0.35%,1.85%,-3.10%,0.05%,-3.58%,0.19%,1.02%,1.97%
Aug-15,-4.21%,0.00%,-0.24%,-5.82%,0.00%,-5.81%,0.00%,-5.38%,-7.06%,-6.26%
Sep-15,-0.18%,0.00%,-0.25%,-5.60%,0.00%,-4.22%,0.00%,-3.15%,7.13%,-2.64%
Oct-15,5.18%,0.31%,-0.42%,6.63%,0.00%,4.87%,-0.25%,7.66%,2.66%,8.30%
Nov-15,1.79%,-1.60%,-0.12%,0.34%,-10.01%,0.45%,0.00%,0.71%,1.67%,0.05%
Dec-15,-1.55%,-2.89%,-0.75%,-2.15%,-4.03%,-1.89%,0.00%,-1.47%,0.34%,-1.75%
Jan-16,-12.03%,-0.25%,-0.25%,-2.55%,-0.83%,-2.97%,-0.25%,-3.58%,-2.34%,-5.07%
Feb-16,1.74%,0.00%,0.00%,-0.38%,0.03%,-0.15%,0.00%,-1.57%,4.46%,-0.41%
